Beg_Yr_Date,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES
1/1/2022,NC,North Carolina,37,2123690,1090302,1033389
1/1/2013,ND,North Dakota,38,113615,98123,15492
1/1/2014,ND,North Dakota,38,115897,98939,16958
1/1/2015,ND,North Dakota,38,118020,98458,19562
1/1/2016,ND,North Dakota,38,120873,97461,23412
1/1/2017,ND,North Dakota,38,124089,101502,22587
1/1/2018,ND,North Dakota,38,127675,104332,23343
1/1/2019,ND,North Dakota,38,131045,106842,24203
1/1/2020,ND,North Dakota,38,134332,107585,26747
1/1/2021,ND,North Dakota,38,137155,105943,31212
1/1/2022,ND,North Dakota,38,140596,102839,37758
1/1/2013,NE,Nebraska,31,298456,262274,36182
1/1/2014,NE,Nebraska,31,305743,269572,36171
1/1/2015,NE,Nebraska,31,313764,275990,37774
1/1/2016,NE,Nebraska,31,321951,281922,40029
1/1/2017,NE,Nebraska,31,329480,286449,43031
1/1/2018,NE,Nebraska,31,338009,288294,49715
1/1/2019,NE,Nebraska,31,346150,288127,58022
1/1/2020,NE,Nebraska,31,353778,282565,71213
1/1/2021,NE,Nebraska,31,360404,272226,88178
1/1/2022,NE,Nebraska,31,367825,262799,105026
1/1/2013,NH,New Hampshire,33,246613,232342,14270
1/1/2014,NH,New Hampshire,33,255895,238438,17456
1/1/2015,NH,New Hampshire,33,263661,244829,18832
1/1/2016,NH,New Hampshire,33,272375,249623,22752
1/1/2017,NH,New Hampshire,33,280990,250636,30354
1/1/2018,NH,New Hampshire,33,290178,251956,38222
1/1/2019,NH,New Hampshire,33,298735,243068,55666
1/1/2020,NH,New Hampshire,33,307567,240172,67394
1/1/2021,NH,New Hampshire,33,316557,234830,81726
1/1/2022,NH,New Hampshire,33,325502,229974,95528
1/1/2013,NJ,New Jersey,34,1433447,1203270,230177
1/1/2014,NJ,New Jersey,34,1465326,1240259,225067
1/1/2015,NJ,New Jersey,34,1493440,1264300,229140
1/1/2016,NJ,New Jersey,34,1523299,1269434,253865
1/1/2017,NJ,New Jersey,34,1553278,1214375,338903
1/1/2018,NJ,New Jersey,34,1584755,1214158,370596
1/1/2019,NJ,New Jersey,34,1615169,1133404,481764
1/1/2020,NJ,New Jersey,34,1637118,1109324,527793
1/1/2021,NJ,New Jersey,34,1656791,1075739,581052
1/1/2022,NJ,New Jersey,34,1686348,1060620,625728
1/1/2013,NM,New Mexico,35,348256,246405,101851
1/1/2014,NM,New Mexico,35,360370,249738,110632
1/1/2015,NM,New Mexico,35,372405,254822,117582
1/1/2016,NM,New Mexico,35,384392,260681,123711
1/1/2017,NM,New Mexico,35,396908,262927,133981
1/1/2018,NM,New Mexico,35,409851,267964,141887
1/1/2019,NM,New Mexico,35,421972,267855,154117
1/1/2020,NM,New Mexico,35,432470,262010,170460
1/1/2021,NM,New Mexico,35,439390,252475,186915
1/1/2022,NM,New Mexico,35,446705,241818,204886
1/1/2013,NV,Nevada,32,413472,284003,129469
1/1/2014,NV,Nevada,32,433516,294152,139365
1/1/2015,NV,Nevada,32,453501,303643,149857
1/1/2016,NV,Nevada,32,472085,311900,160186
1/1/2017,NV,Nevada,32,492325,319219,173106
1/1/2018,NV,Nevada,32,511711,326489,185222
1/1/2019,NV,Nevada,32,531564,331585,199979
1/1/2020,NV,Nevada,32,549393,329339,220054
1/1/2021,NV,Nevada,32,561939,316990,244949
1/1/2022,NV,Nevada,32,573095,306514,266582
1/1/2013,NY,New York,36,3213458,2125283,1088175
1/1/2014,NY,New York,36,3281801,2107158,1174644
1/1/2015,NY,New York,36,3344256,2111366,1232890
1/1/2016,NY,New York,36,3410034,2139045,1270989
1/1/2017,NY,New York,36,3482221,2126620,1355601
1/1/2018,NY,New York,36,3559173,2120188,1438985
1/1/2019,NY,New York,36,3629623,2118566,1511057
1/1/2020,NY,New York,36,3672562,2069578,1602984
1/1/2021,NY,New York,36,3705610,1996240,1709370
1/1/2022,NY,New York,36,3758071,1945376,1812695
1/1/2013,OH,Ohio,39,2057861,1290622,767239
1/1/2014,OH,Ohio,39,2109455,1298199,811256
1/1/2015,OH,Ohio,39,2154851,1271530,883321
1/1/2016,OH,Ohio,39,2202060,1378970,823090
1/1/2017,OH,Ohio,39,2249050,1372602,876448
1/1/2018,OH,Ohio,39,2295136,1341720,953416
1/1/2019,OH,Ohio,39,2340027,1323428,1016600
1/1/2020,OH,Ohio,39,2381221,1279364,1101857
1/1/2021,OH,Ohio,39,2407792,1227265,1180527
1/1/2022,OH,Ohio,39,2441378,1174777,1266601
1/1/2013,OK,Oklahoma,40,651558,545575,105982
1/1/2014,OK,Oklahoma,40,665717,556073,109644
1/1/2015,OK,Oklahoma,40,679385,564653,114732
1/1/2016,OK,Oklahoma,40,692871,572942,119929
1/1/2017,OK,Oklahoma,40,706317,578280,128037
1/1/2018,OK,Oklahoma,40,722454,582026,140428
1/1/2019,OK,Oklahoma,40,738850,577110,161740
1/1/2020,OK,Oklahoma,40,753478,563270,190209
1/1/2021,OK,Oklahoma,40,763654,528377,235276
1/1/2022,OK,Oklahoma,40,775729,506206,269523
1/1/2013,OR,Oregon,41,699232,405771,293461
1/1/2014,OR,Oregon,41,726937,413467,313470
1/1/2015,OR,Oregon,41,754993,424258,330736
1/1/2016,OR,Oregon,41,782260,436561,345699
1/1/2017,OR,Oregon,41,807584,447460,360124
1/1/2018,OR,Oregon,41,836937,459247,377690
1/1/2019,OR,Oregon,41,863650,470225,393425
1/1/2020,OR,Oregon,41,886188,468657,417531
1/1/2021,OR,Oregon,41,901861,459062,442799
1/1/2022,OR,Oregon,41,915437,445123,470315
1/1/2013,PA,Pennsylvania,42,2439177,1485479,953699
1/1/2014,PA,Pennsylvania,42,2490414,1506606,983808
1/1/2015,PA,Pennsylvania,42,2534048,1524198,1009850
1/1/2016,PA,Pennsylvania,42,2581572,1548833,1032738
1/1/2017,PA,Pennsylvania,42,2629753,1552535,1077218
1/1/2018,PA,Pennsylvania,42,2683395,1568247,1115149
1/1/2019,PA,Pennsylvania,42,2732824,1567873,1164951
1/1/2020,PA,Pennsylvania,42,2776113,1539899,1236214
1/1/2021,PA,Pennsylvania,42,2805431,1493883,1311548
1/1/2022,PA,Pennsylvania,42,2844616,1449988,1394628
1/1/2013,PR,Puerto Rico,72,711896,192429,519467
1/1/2014,PR,Puerto Rico,72,727752,187150,540602
1/1/2015,PR,Puerto Rico,72,738132,179917,558215
1/1/2016,PR,Puerto Rico,72,746274,178945,567328
1/1/2017,PR,Puerto Rico,72,734121,171923,562199
1/1/2018,PR,Puerto Rico,72,741280,168267,573014
1/1/2019,PR,Puerto Rico,72,749872,160876,588996
1/1/2020,PR,Puerto Rico,72,750388,149159,601230
1/1/2021,PR,Puerto Rico,72,754752,138182,616570
1/1/2022,PR,Puerto Rico,72,760552,128646,631906
1/1/2013,RI,Rhode Island,44,195617,127016,68602
1/1/2014,RI,Rhode Island,44,199653,128918,70736
1/1/2015,RI,Rhode Island,44,203238,131813,71425
1/1/2016,RI,Rhode Island,44,207345,132571,74774
1/1/2017,RI,Rhode Island,44,211664,120871,90792
1/1/2018,RI,Rhode Island,44,216308,120693,95614
1/1/2019,RI,Rhode Island,44,220546,120094,100452
1/1/2020,RI,Rhode Island,44,224732,117503,107229
1/1/2021,RI,Rhode Island,44,228146,111983,116163
1/1/2022,RI,Rhode Island,44,232449,106358,126091
1/1/2013,SC,South Carolina,45,873456,696727,176729
1/1/2014,SC,South Carolina,45,908037,707217,200820
1/1/2015,SC,South Carolina,45,941568,723509,218059
1/1/2016,SC,South Carolina,45,974034,737612,236421
1/1/2017,SC,South Carolina,45,1006419,745487,260932
1/1/2018,SC,South Carolina,45,1040376,753152,287223
1/1/2019,SC,South Carolina,45,1075124,752453,322671
1/1/2020,SC,South Carolina,45,1106010,737889,368121
1/1/2021,SC,South Carolina,45,1133973,712041,421932
1/1/2022,SC,South Carolina,45,1164720,692192,472528
1/1/2013,SD,South Dakota,46,147380,125866,21514
1/1/2014,SD,South Dakota,46,151817,126888,24930
1/1/2015,SD,South Dakota,46,156140,126890,29250
1/1/2016,SD,South Dakota,46,160698,126561,34137
1/1/2017,SD,South Dakota,46,165403,130682,34721
1/1/2018,SD,South Dakota,46,170943,135390,35553
1/1/2019,SD,South Dakota,46,175579,138162,37418
1/1/2020,SD,South Dakota,46,180220,138706,41514
1/1/2021,SD,South Dakota,46,184567,136475,48092
1/1/2022,SD,South Dakota,46,189165,132829,56336
1/1/2013,TN,Tennessee,47,1169616,818522,351093
1/1/2014,TN,Tennessee,47,1205210,816815,388394
1/1/2015,TN,Tennessee,47,1235738,812320,423418
1/1/2016,TN,Tennessee,47,1265781,816458,449322
1/1/2017,TN,Tennessee,47,1294909,820040,474869
1/1/2018,TN,Tennessee,47,1325043,817921,507122
1/1/2019,TN,Tennessee,47,1356706,812679,544027
1/1/2020,TN,Tennessee,47,1385253,796822,588431
1/1/2021,TN,Tennessee,47,1406240,766844,639395
1/1/2022,TN,Tennessee,47,1427697,740458,687239
1/1/2013,TX,Texas,48,3385888,2466558,919330
1/1/2014,TX,Texas,48,3513102,2488742,1024360
1/1/2015,TX,Texas,48,3634716,2487710,1147006
1/1/2016,TX,Texas,48,3757335,2512097,1245237
1/1/2017,TX,Texas,48,3883588,2522372,1361217
1/1/2018,TX,Texas,48,4018970,2481183,1537787
1/1/2019,TX,Texas,48,4158858,2493533,1665325
1/1/2020,TX,Texas,48,4286051,2456124,1829927
1/1/2021,TX,Texas,48,4386864,2347931,2038933
1/1/2022,TX,Texas,48,4506541,2293578,2212963
1/1/2013,UK,Unknown,99,,,
1/1/2014,UK,Unknown,99,,,
1/1/2015,UK,Unknown,99,,,
1/1/2016,UK,Unknown,99,,,
1/1/2017,UK,Unknown,99,,,
1/1/2018,UK,Unknown,99,,,
